4.507620818912982941e-03	8.516741394996643066e-01	1.637871318962424994e-04	1.436544358730316162e-01
9.772180914878845215e-01	1.376096770400181413e-04	1.917562633752822876e-02	3.468714188784360886e-03
2.500415313988924026e-03	6.051640585064888000e-02	2.849793527275323868e-03	9.341334700584411621e-01
1.422934001311659813e-03	9.807370901107788086e-01	2.017391234403476119e-04	1.763821393251419067e-02
1.422367972736537922e-06	1.116884504881454632e-07	9.999700784683227539e-01	2.833069629559759051e-05
3.597477823495864868e-02	4.539610147476196289e-01	6.611953023821115494e-03	5.034521818161010742e-01
5.776514808530919254e-05	1.158182112703798339e-05	9.931493401527404785e-01	6.781340576708316803e-03
3.801065683364868164e-02	2.031005620956420898e-01	1.899798586964607239e-02	7.398908138275146484e-01
1.354892365634441376e-02	7.079444527626037598e-01	7.185708964243531227e-04	2.777880430221557617e-01
2.059405943555248086e-07	2.288690268414939055e-07	9.997476935386657715e-01	2.517976390663534403e-04
4.878874123096466064e-02	8.544220030307769775e-02	2.777249552309513092e-02	8.379966020584106445e-01
1.127699972130358219e-03	4.039214849472045898e-01	3.942286421079188585e-04	5.945566296577453613e-01
8.553794468753039837e-04	1.591476728208363056e-03	9.936282634735107422e-01	3.924992866814136505e-03
9.997400641441345215e-01	1.316624002356547862e-05	5.729177064495161176e-05	1.895780587801709771e-04
2.632426969739753986e-07	4.471537362604749433e-09	9.998921155929565430e-01	1.076028856914490461e-04
4.835303872823715210e-02	4.446125030517578125e-02	3.600808605551719666e-02	8.711776733398437500e-01
4.105334738824240048e-08	6.459157653182501235e-10	9.999873638153076172e-01	1.268137020815629512e-05
9.093627450056374073e-04	9.584951996803283691e-01	2.528931327105965465e-05	4.057006910443305969e-02
9.990697503089904785e-01	1.899326662169187330e-06	5.683825656888075173e-05	8.715897565707564354e-04
5.157236009836196899e-03	9.470952153205871582e-01	2.865768037736415863e-04	4.746089875698089600e-02
9.920675754547119141e-01	1.135144033469259739e-03	3.589639673009514809e-03	3.207711735740303993e-03
6.992342323064804077e-02	2.028455436229705811e-01	5.891400575637817383e-02	6.683170199394226074e-01
1.440922846086323261e-03	5.927900671958923340e-01	1.926120457937940955e-04	4.055764079093933105e-01
8.091078780125826597e-05	9.978466033935546875e-01	2.198004125375518925e-07	2.072247909381985664e-03
5.013477561988111120e-07	4.147441075019742129e-07	9.999201297760009766e-01	7.892860594438388944e-05
5.152733647264540195e-04	9.505610466003417969e-01	2.285599111928604543e-05	4.890089109539985657e-02
9.993351101875305176e-01	7.713499144301749766e-06	9.354405483463779092e-05	5.635774577967822552e-04
2.148950989067088813e-05	9.994538426399230957e-01	1.355145400339097250e-07	5.245539941824972630e-04
